country,city_actual,price,city,stars,hotel_id,distance,accommodation_type
Austria,Vienna,81,Vienna,4,21897,1.7,Hotel
Austria,Vienna,85,Vienna,4,21901,1.4,Hotel
Austria,Vienna,83,Vienna,3,21902,1.7,Hotel
Austria,Vienna,82,Vienna,4,21903,1.2,Hotel
Austria,Vienna,103,Vienna,4,21906,.89999998,Hotel
Austria,Vienna,150,Vienna,4,21907,1,Hotel
Austria,Vienna,60,Vienna,4,21912,1.1,Hotel
Austria,Vienna,128,Vienna,4,21913,.80000001,Hotel
Austria,Vienna,85,Vienna,4,21917,1.7,Hotel
Austria,Vienna,77,Vienna,3,21918,.89999998,Hotel
Austria,Vienna,78,Vienna,3,21919,.80000001,Hotel
Austria,Vienna,78,Vienna,3,21920,.89999998,Hotel
Austria,Vienna,77,Vienna,3,21924,4.1999998,Hotel
Austria,Vienna,77,Vienna,3,21925,3.9000001,Hotel
Austria,Vienna,95,Vienna,4,21926,3.5999999,Hotel
Austria,Vienna,208,Vienna,4,21930,2.9000001,Hotel
Austria,Vienna,87,Vienna,3,21933,3.4000001,Hotel
Austria,Vienna,54,Vienna,3,21935,2,Hotel
Austria,Vienna,99,Vienna,3.5,21940,1.7,Hotel
Austria,Vienna,75,Vienna,3.5,21941,1.7,Hotel
Austria,Vienna,76,Vienna,3,21943,2.0999999,Hotel
Austria,Vienna,91,Vienna,4,21946,1.9,Hotel
Austria,Vienna,71,Vienna,4,21959,1.7,Hotel
Austria,Vienna,113,Vienna,3,21965,.2,Hotel
Austria,Vienna,156,Vienna,3,21968,.30000001,Hotel
Austria,Vienna,133,Vienna,4,21970,.30000001,Hotel
Austria,Vienna,123,Vienna,4,21971,.5,Hotel
Austria,Vienna,219,Vienna,4,21972,.30000001,Hotel
Austria,Vienna,152,Vienna,4,21973,.30000001,Hotel
Austria,Vienna,115,Vienna,4,21975,.1,Hotel
Austria,Vienna,138,Vienna,4,21977,.2,Hotel
Austria,Vienna,146,Vienna,4,21980,.1,Hotel
Austria,Vienna,98,Vienna,3,21984,.5,Hotel
Austria,Vienna,121,Vienna,3.5,21985,.30000001,Hotel
Austria,Vienna,149,Vienna,4,21986,.2,Hotel
Austria,Vienna,120,Vienna,3,21987,.30000001,Hotel
Austria,Vienna,157,Vienna,3,21988,.40000001,Hotel
Austria,Vienna,112,Vienna,4,21995,.2,Hotel
Austria,Vienna,138,Vienna,4,21996,.30000001,Hotel
Austria,Vienna,158,Vienna,3,22009,.30000001,Hotel
Austria,Vienna,218,Vienna,4,22011,.2,Hotel
Austria,Vienna,218,Vienna,4,22012,.1,Hotel
Austria,Vienna,135,Vienna,3,22013,.30000001,Hotel
Austria,Vienna,179,Vienna,4,22016,.5,Hotel
Austria,Vienna,157,Vienna,4,22018,.69999999,Hotel
Austria,Vienna,146,Vienna,4,22019,.30000001,Hotel
Austria,Vienna,157,Vienna,4,22021,.1,Hotel
Austria,Vienna,108,Vienna,3,22023,.30000001,Hotel
Austria,Vienna,127,Vienna,4,22026,.80000001,Hotel
Austria,Vienna,163,Vienna,4,22028,.40000001,Hotel
Austria,Vienna,231,Vienna,4,22031,.1,Hotel
Austria,Vienna,116,Vienna,4,22032,.40000001,Hotel
Austria,Vienna,166,Vienna,4,22037,.60000002,Hotel
Austria,Vienna,169,Vienna,4,22042,.30000001,Hotel
Austria,Vienna,242,Vienna,4,22050,0,Hotel
Austria,Vienna,223,Vienna,4,22051,.5,Hotel
Austria,Vienna,149,Vienna,4,22052,.30000001,Hotel
Austria,Vienna,114,Vienna,4,22054,.5,Hotel
Austria,Vienna,139,Vienna,4,22061,.2,Hotel
Austria,Vienna,79,Vienna,3,22064,1.4,Hotel
Austria,Vienna,110,Vienna,3,22071,.89999998,Hotel
Austria,Vienna,88,Vienna,3,22072,.89999998,Hotel
Austria,Vienna,59,Vienna,3,22075,1.6,Hotel
Austria,Vienna,119,Vienna,4,22076,.89999998,Hotel
Austria,Vienna,152,Vienna,4,22077,.89999998,Hotel
Austria,Vienna,102,Vienna,4,22078,1,Hotel
Austria,Vienna,54,Vienna,3,22080,1.1,Hotel
Austria,Vienna,94,Vienna,3,22084,1,Hotel
Austria,Vienna,115,Vienna,4,22088,.89999998,Hotel
Austria,Vienna,68,Vienna,3,22090,.89999998,Hotel
Austria,Vienna,153,Vienna,4,22093,.2,Hotel
Austria,Vienna,169,Vienna,4,22095,.30000001,Hotel
Austria,Vienna,182,Vienna,4,22097,.5,Hotel
Austria,Vienna,142,Vienna,4,22101,.1,Hotel
Austria,Vienna,110,Vienna,4,22104,.60000002,Hotel
Austria,Vienna,82,Vienna,4,22117,1.4,Hotel
Austria,Vienna,82,Vienna,4,22118,1.7,Hotel
Austria,Vienna,66,Vienna,3,22119,1.8,Hotel
Austria,Vienna,169,Vienna,4,22120,.80000001,Hotel
Austria,Vienna,109,Vienna,4,22123,1.5,Hotel
Austria,Vienna,104,Vienna,3,22125,.69999999,Hotel
Austria,Vienna,145,Vienna,3.5,22126,.89999998,Hotel
Austria,Vienna,85,Vienna,3,22130,.80000001,Hotel
Austria,Vienna,110,Vienna,3,22136,1.3,Hotel
Austria,Vienna,134,Vienna,4,22138,.60000002,Hotel
Austria,Vienna,79,Vienna,4,22140,1.3,Hotel
Austria,Vienna,132,Vienna,4,22142,1,Hotel
Austria,Vienna,128,Vienna,4,22144,.60000002,Hotel
Austria,Vienna,99,Vienna,3,22145,1.5,Hotel
Austria,Vienna,86,Vienna,4,22149,1.8,Hotel
Austria,Vienna,63,Vienna,3,22152,1,Hotel
Austria,Vienna,134,Vienna,3.5,22155,.60000002,Hotel
Austria,Vienna,79,Vienna,3,22157,.89999998,Hotel
Austria,Vienna,138,Vienna,4,22158,.5,Hotel
Austria,Vienna,113,Vienna,4,22159,1,Hotel
Austria,Vienna,84,Vienna,3,22162,1.5,Hotel
Austria,Vienna,68,Vienna,3,22165,.89999998,Hotel
Austria,Vienna,102,Vienna,3.5,22166,1.5,Hotel
Austria,Vienna,82,Vienna,3,22169,1.6,Hotel
Austria,Vienna,66,Vienna,3,22170,1.1,Hotel
Austria,Vienna,113,Vienna,3,22176,.80000001,Hotel
Austria,Vienna,106,Vienna,3,22177,1,Hotel
Austria,Vienna,89,Vienna,3,22179,1.6,Hotel
Austria,Vienna,106,Vienna,4,22182,.80000001,Hotel
Austria,Vienna,100,Vienna,4,22183,.80000001,Hotel
Austria,Vienna,75,Vienna,3,22184,.69999999,Hotel
Austria,Vienna,84,Vienna,3,22185,.80000001,Hotel
Austria,Vienna,151,Vienna,4,22187,.5,Hotel
Austria,Vienna,87,Vienna,3,22188,.89999998,Hotel
Austria,Vienna,117,Vienna,4,22189,.5,Hotel
Austria,Vienna,120,Vienna,4,22190,1.9,Hotel
Austria,Vienna,383,Vienna,3,22193,1.9,Hotel
Austria,Vienna,174,Vienna,4,22198,1.5,Hotel
Austria,Vienna,63,Vienna,3,22199,2,Hotel
Austria,Vienna,100,Vienna,3.5,22201,1.5,Hotel
Austria,Vienna,86,Vienna,4,22203,1.4,Hotel
Austria,Vienna,67,Vienna,3,22205,1.8,Hotel
Austria,Vienna,129,Vienna,4,22206,1.3,Hotel
Austria,Vienna,86,Vienna,3,22212,1.3,Hotel
Austria,Vienna,131,Vienna,4,22214,.69999999,Hotel
Austria,Vienna,80,Vienna,3,22218,1.4,Hotel
Austria,Vienna,93,Vienna,4,22219,1.1,Hotel
Austria,Vienna,77,Vienna,3,22222,1.9,Hotel
Austria,Vienna,140,Vienna,4,22223,.80000001,Hotel
Austria,Vienna,99,Vienna,4,22224,1,Hotel
Austria,Vienna,105,Vienna,4,22226,1.4,Hotel
Austria,Vienna,100,Vienna,3.5,22227,1.7,Hotel
Austria,Vienna,82,Vienna,3,22229,1.1,Hotel
Austria,Vienna,82,Vienna,4,22230,1.8,Hotel
Austria,Vienna,87,Vienna,4,22235,1.9,Hotel
Austria,Vienna,100,Vienna,4,22236,1.6,Hotel
Austria,Vienna,84,Vienna,4,22237,1.6,Hotel
Austria,Vienna,98,Vienna,4,22239,.80000001,Hotel
Austria,Vienna,99,Vienna,3,22241,1.8,Hotel
Austria,Vienna,76,Vienna,3,22246,1.6,Hotel
Austria,Vienna,113,Vienna,3,22248,.80000001,Hotel
Austria,Vienna,110,Vienna,4,22249,.89999998,Hotel
Austria,Vienna,184,Vienna,4,22250,1,Hotel
Austria,Vienna,99,Vienna,4,22253,1.7,Hotel
Austria,Vienna,122,Vienna,3,22254,.80000001,Hotel
Austria,Vienna,122,Vienna,4,22255,1.7,Hotel
Austria,Vienna,105,Vienna,4,22256,1.7,Hotel
Austria,Vienna,109,Vienna,4,22259,1.4,Hotel
Austria,Vienna,105,Vienna,3,22260,1.2,Hotel
Austria,Vienna,52,Vienna,3,22268,3.0999999,Hotel
Austria,Vienna,80,Vienna,4,22271,4.0999999,Hotel
Austria,Vienna,70,Vienna,4,22275,1.8,Hotel
Austria,Vienna,136,Vienna,3,22277,1.9,Hotel
Austria,Vienna,80,Vienna,3,22279,2.0999999,Hotel
Austria,Vienna,81,Vienna,3,22281,2.4000001,Hotel
Austria,Vienna,66,Vienna,4,22285,3.5999999,Hotel
Austria,Vienna,77,Vienna,3,22286,2.8,Hotel
Austria,Vienna,69,Vienna,4,22288,2.0999999,Hotel
Austria,Vienna,83,Vienna,3,22289,2.0999999,Hotel
Austria,Vienna,77,Vienna,4,22293,1.8,Hotel
Austria,Vienna,121,Vienna,4,22296,1.7,Hotel
Austria,Vienna,68,Vienna,3,22299,3.5999999,Hotel
Austria,Vienna,63,Vienna,3,22300,2,Hotel
Austria,Vienna,101,Vienna,3,22301,2.0999999,Hotel
Austria,Vienna,75,Vienna,4,22302,2.5999999,Hotel
Austria,Vienna,156,Vienna,4,22303,3.5999999,Hotel
Austria,Vienna,56,Vienna,3,22304,3.7,Hotel
Austria,Vienna,82,Vienna,3.5,22306,2.4000001,Hotel
Austria,Vienna,82,Vienna,4,22307,2.5999999,Hotel
Austria,Vienna,106,Vienna,3,22309,4.0999999,Hotel
Austria,Vienna,85,Vienna,3,22310,3.0999999,Hotel
Austria,Vienna,83,Vienna,3.5,22311,2.5999999,Hotel
Austria,Vienna,92,Vienna,4,22312,2.9000001,Hotel
Austria,Vienna,117,Vienna,4,22328,2,Hotel
Austria,Vienna,66,Vienna,3,22331,3.9000001,Hotel
Austria,Vienna,81,Vienna,3.5,22334,3.7,Hotel
Austria,Vienna,109,Vienna,4,22335,3.5,Hotel
Austria,Vienna,97,Vienna,4,22340,3.0999999,Hotel
Austria,Vienna,74,Vienna,4,22341,4.8000002,Hotel
Austria,Vienna,69,Vienna,4,22342,3.7,Hotel
Austria,Vienna,83,Vienna,4,22343,3.9000001,Hotel
Austria,Vienna,50,Vienna,3,22344,3.9000001,Hotel
Austria,Vienna,77,Vienna,3,22348,3.7,Hotel
Austria,Vienna,102,Vienna,3,22349,5.3000002,Hotel
Austria,Vienna,130,Vienna,3,22353,6.5999999,Hotel
Austria,Vienna,78,Vienna,3,22354,3.2,Hotel
Austria,Vienna,76,Vienna,3,22355,3.3,Hotel
Austria,Vienna,68,Vienna,4,22356,4.5,Hotel
Austria,Vienna,116,Vienna,4,22358,2.7,Hotel
Austria,Vienna,172,Vienna,4,22359,2.2,Hotel
Austria,Vienna,87,Vienna,3,22362,2.4000001,Hotel
Austria,Vienna,90,Vienna,3,22363,4.5999999,Hotel
Austria,Vienna,100,Vienna,3.5,22364,2.7,Hotel
Austria,Vienna,84,Vienna,3,22380,1.9,Hotel
Austria,Vienna,185,Vienna,4,22382,2.0999999,Hotel
Austria,Vienna,85,Vienna,4,22384,3,Hotel
Austria,Vienna,110,Vienna,3.5,22386,1.6,Hotel
Austria,Vienna,86,Vienna,3,22387,1.6,Hotel
Austria,Vienna,118,Vienna,4,22388,1,Hotel
Austria,Vienna,126,Vienna,3.5,22389,.89999998,Hotel
Austria,Vienna,92,Vienna,3,22390,1.3,Hotel
Austria,Vienna,197,Vienna,4,22391,.80000001,Hotel
Austria,Vienna,135,Vienna,4,22394,1.2,Hotel
Austria,Vienna,125,Vienna,4,22395,1.2,Hotel
Austria,Vienna,134,Vienna,4,22397,.80000001,Hotel
Austria,Vienna,91,Vienna,3,22398,.89999998,Hotel
Austria,Vienna,110,Vienna,3,22399,.80000001,Hotel
Austria,Vienna,100,Vienna,3,22401,1.2,Hotel
Austria,Vienna,95,Vienna,4,22402,1.5,Hotel
Austria,Vienna,73,Vienna,3,22403,1.5,Hotel
Austria,Vienna,100,Vienna,4,22407,1,Hotel
Austria,Vienna,58,Vienna,3,22408,1.4,Hotel
